Date,Event,Confirmed,Time,Title,Presenter,Media,Notes
"Friday, October 29, 2021",Lecture,1,8:00-9:00,Surgical Thoracic Oncology,Natalie Lui,Person,
"Wednesday, November 3, 2021",Lecture,0,7:30-8:30,Case Discussion: Early NSCLC,MD,***,
,Lecture,1,8:30-9:30,Thoracic Medical Oncology,Millie Das,Person,
,Lecture,0,9:30-10:30,Case Discussion: Small Cell,ALC,***,
"Friday, November 5, 2021",Lecture,0,8:00-9:00,Journal Club: LA-NSCLC,ALC,***,
"Wednesday, November 10, 2021",Lecture,0,7:30-8:30,Plan Evaluation (IMRT and SABR),BL,***,
,Lecture,0,8:30-9:30,Motion Management,BL,***,
,Lecture,1,9:30-10:30,Journal Club: Cervix,AM,Virtual,
"Friday, November 12, 2021",Lecture,1,8:00-9:00,Journal Club: Vaginal/Vulvar,SZ,Virtual,
"Wednesday, November 17, 2021",Lecture,1,7:30-8:30,Gyn Onc,Susan Lang,Virtual,
,Lecture,0,8:30-9:30,"Case Discussion: Mesothelioma, Thymoma, Thymic Cancers",LV,***,
,Lecture,0,9:30-10:30,Case Discussion: Locally Advanced,LV,***,
"Friday, November 19, 2021",Lecture,1,8:00-9:00,Imaging: Lung,Henry Guo,Virtual,
"Wednesday, November 24, 2021",Holiday,,,Thanksgiving,,,
"Friday, November 26, 2021",Holiday,,,Thanksgiving,,,
"Wednesday, December 1, 2021",Lecture,0,7:30-8:30,Journal Club: Endometrial,EK,***,
,Lecture,0,8:30-9:30,Case Discussion: Endometrial,EK,***,
,Lecture,1,9:30-10:30,Case Discussion: Cervix,AM,Virtual,
"Friday, December 3, 2021",Lecture,1,8:00-9:00,Case Discussion: Vaginal/Vulvar,SZ,Virtual,
"Wednesday, December 8, 2021",Lecture,0,7:30-8:30,HL Case Discussion (Early/Advanced),CH/JN,***,
,Lecture,0,8:30-9:30,HL Journal Club - 3 papers,RH/MSB,***,
,Lecture,0,9:30-10:30,ILROG Contouring,RH/MSB,***,
"Friday, December 10, 2021",Lecture,0,8:00-9:00,"MF and other pcNHL Case Discussion (TSET, Local, Diffuse)",NP/JM/EW,***,
"Wednesday, December 15, 2021",M&M,1,7:30-8:30,M&M,,Virtual,
,Lecture,0,8:30-9:30,MF Journal Club,RH/MSB,***,
,Lecture,0,9:30-10:30,DLBCL Case Discussion (Early/Advanced),JP/ER,***,
"Friday, December 17, 2021",Lecture,0,8:00-9:00,DLBCL Journal Club,RH/MSB,***,
"Wednesday, December 22, 2021",Holiday,,,Winter Break,,,
"Friday, December 24, 2021",Holiday,,,Winter Break,,,
"Wednesday, December 29, 2021",Holiday,,,Winter Break,,,
"Friday, December 31, 2021",Holiday,,,Winter Break,,,
